,A_name,A_code,B_name,B_code,t,p,crit_value_1,crit_value_5,crit_value_10,flag
529,西南证券,600369.SH,国元证券,000728.SZ,-2.7698527828559216,0.06271078976922313,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,False
530,西南证券,600369.SH,东方财富,300059.SZ,-1.4864519005727637,0.5402024274962569,-3.4437936797256317,-2.867468682890213,-2.5699277594606915,False
531,西南证券,600369.SH,山西证券,002500.SZ,-2.8078345922493764,0.057163337785926,-3.4437936797256317,-2.867468682890213,-2.5699277594606915,False
532,西南证券,600369.SH,中国银河,601881.SH,-1.6167979362392435,0.47440841146085466,-3.4437660979098843,-2.8674565460819896,-2.569921291128696,False
533,西南证券,600369.SH,中信建投,601066.SH,-0.33443379746207175,0.9204839126179687,-3.4436568932270095,-2.8674084917497074,-2.5698956806372832,False
534,西南证券,600369.SH,国盛金控,002670.SZ,-2.8812693355876027,0.04756987709259932,-3.4436840273842058,-2.8674204319994674,-2.5699020441557052,True
535,西南证券,600369.SH,东吴证券,601555.SH,-1.7576457578554303,0.40168273746830596,-3.4440184853599876,-2.867567599912013,-2.5699804779975883,False
536,西南证券,600369.SH,华泰证券,601688.SH,-2.831787826916996,0.05387460499303915,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,False
537,西南证券,600369.SH,西部证券,002673.SZ,-2.2961588828538724,0.1732098011649738,-3.4437112724287253,-2.8674324209387345,-2.569908433637385,False
538,西南证券,600369.SH,第一创业,002797.SZ,-1.0903291139692792,0.7189130935803428,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
539,西南证券,600369.SH,浙商证券,601878.SH,-1.166923305411562,0.6876602340699002,-3.4437936797256317,-2.867468682890213,-2.5699277594606915,False
540,东方证券,600958.SH,红塔证券,601236.SH,-3.6003687278528886,0.005753982377640225,-3.456780859712,-2.8731715065600003,-2.572968544,True
541,东方证券,600958.SH,中信证券,600030.SH,-1.438449403191451,0.5637105844332317,-3.4439615820186846,-2.8675425624806605,-2.5699671340268937,False
542,东方证券,600958.SH,财通证券,601108.SH,-2.7414669556852758,0.06713340876482633,-3.4437386290417082,-2.867444458865948,-2.5699148492415413,False
543,东方证券,600958.SH,光大证券,601788.SH,-0.9390448527260503,0.7748426897899945,-3.4439899743408136,-2.8675550551408353,-2.569973792117904,False
544,东方证券,600958.SH,长江证券,000783.SZ,-3.3230060603949516,0.013880904838792445,-3.4436840273842058,-2.8674204319994674,-2.5699020441557052,True
545,东方证券,600958.SH,华林证券,002945.SZ,-3.5548284953197578,0.006685705339501126,-3.448645946352023,-2.869602139060357,-2.5710650077160495,True
546,东方证券,600958.SH,海通证券,600837.SH,-1.6387145796396605,0.46293254107189735,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,False
547,东方证券,600958.SH,东北证券,000686.SZ,-2.640218339494737,0.08496653039181623,-3.4438213751870337,-2.867480869596464,-2.5699342544006987,False
548,东方证券,600958.SH,中原证券,601375.SH,-3.192718948591079,0.020410022365935383,-3.4438213751870337,-2.867480869596464,-2.5699342544006987,True
549,东方证券,600958.SH,东兴证券,601198.SH,-3.7501722196912333,0.0034603001845334544,-3.4437112724287253,-2.8674324209387345,-2.569908433637385,True
550,东方证券,600958.SH,南京证券,601990.SH,-1.4344765090169698,0.565640648957584,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
551,东方证券,600958.SH,西南证券,600369.SH,-3.406557653033926,0.010737342705047347,-3.4438213751870337,-2.867480869596464,-2.5699342544006987,True
552,东方证券,600958.SH,国信证券,002736.SZ,-2.0491719721020947,0.26543743646479406,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,False
553,东方证券,600958.SH,哈投股份,600864.SH,-2.720541197977677,0.07055069373714558,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
554,东方证券,600958.SH,华创阳安,600155.SH,-2.078527101932577,0.2532361519030316,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,False
555,东方证券,600958.SH,兴业证券,601377.SH,-2.9333425849254424,0.04160583053991275,-3.443849184997939,-2.8674931065091105,-2.569940776113236,True
556,东方证券,600958.SH,方正证券,601901.SH,-2.351551754506388,0.15587982717840126,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
557,东方证券,600958.SH,中银证券,601696.SH,-3.3192621944643785,0.014039105121013662,-3.502704609582561,-2.8931578098779522,-2.583636712914788,True
558,东方证券,600958.SH,国金证券,600109.SH,-0.34290567487182233,0.9192039514118499,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
559,东方证券,600958.SH,国海证券,000750.SZ,-3.51436257109228,0.007625804039872832,-3.4439899743408136,-2.8675550551408353,-2.569973792117904,True
560,东方证券,600958.SH,长城证券,002939.SZ,-2.9105433928568996,0.04413561001317759,-3.446205926287236,-2.8685297226414734,-2.570493298011322,True
561,东方证券,600958.SH,中泰证券,600918.SH,-1.171747438722512,0.6856296739832956,-3.769732625845229,-3.005425537190083,-2.6425009917355373,False
562,东方证券,600958.SH,华西证券,002926.SZ,-2.453739127625609,0.12713951165270004,-3.4437660979098843,-2.8674565460819896,-2.569921291128696,False
563,东方证券,600958.SH,广发证券,000776.SZ,-2.939032238700188,0.04099372297718699,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,True
564,东方证券,600958.SH,哈高科,600095.SH,-0.9262234928640729,0.7792140395598015,-3.44407586647939,-2.867592847097137,-2.5699939338217668,False
565,东方证券,600958.SH,华鑫股份,600621.SH,0.2648797740481104,0.9756745560150308,-3.4437112724287253,-2.8674324209387345,-2.569908433637385,False
566,东方证券,600958.SH,国泰君安,601211.SH,-3.1852234031038615,0.020856098036789426,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,True
